City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Marsa Matruh,EG,2021-01-09 16:34:24,31.3525,27.2453,62.6,72,0,3.44
207,Buraydah,SA,2021-01-09 16:34:24,26.326,43.975,60.8,94,40,5.75
208,Ribeira Grande,PT,2021-01-09 16:34:24,38.5167,-28.7,59.0,63,75,11.5
209,Abha,SA,2021-01-09 16:34:24,18.2164,42.5053,57.2,82,20,12.66
210,Tibagi,BR,2021-01-09 16:34:24,-24.5094,-50.4136,79.29,80,70,2.51
211,Illintsi,UA,2021-01-09 16:34:24,49.1048,29.2177,30.2,80,0,6.71
212,Maracaibo,VE,2021-01-09 16:34:24,10.6317,-71.6406,84.42,64,100,4.23
213,Pangai,TO,2021-01-09 16:34:24,-19.8,-174.35,80.17,81,88,12.91
214,Healdsburg,US,2021-01-09 16:34:24,38.6105,-122.8692,43.0,100,1,8.05
215,Norman Wells,CA,2021-01-09 16:34:24,65.282,-126.8329,1.4,85,20,2.3
216,Barsovo,RU,2021-01-09 16:34:24,61.1667,73.1667,-11.2,84,75,4.47
217,Mogadishu,SO,2021-01-09 16:34:02,2.0371,45.3438,77.11,74,0,26.82
218,Srednekolymsk,RU,2021-01-09 16:34:25,67.45,153.6833,-27.27,84,93,4.21
219,Dongsheng,CN,2021-01-09 16:34:25,39.8161,109.9776,4.57,74,0,9.73
220,Peleduy,RU,2021-01-09 16:34:25,59.6289,112.7406,-8.81,87,100,9.06
221,Campeche,MX,2021-01-09 16:34:25,19.0,-90.5,73.31,50,0,3.67
222,Kavaratti,IN,2021-01-09 16:34:25,10.5669,72.642,82.51,75,100,5.5
223,Cayenne,GF,2021-01-09 16:34:25,4.9333,-52.3333,82.4,89,75,14.97
224,Taksimo,RU,2021-01-09 16:33:24,56.3444,114.8794,-5.69,83,99,3.15
225,Port Augusta,AU,2021-01-09 16:34:25,-32.5,137.7667,72.0,68,0,5.75
226,Isangel,VU,2021-01-09 16:34:25,-19.55,169.2667,79.79,83,100,4.81
227,Jambi,ID,2021-01-09 16:34:25,-1.6,103.6167,73.87,97,100,2.8
228,Portland,US,2021-01-09 16:31:06,45.5234,-122.6762,36.0,92,41,8.01
229,Khatanga,RU,2021-01-09 16:34:25,71.9667,102.5,-26.66,87,94,2.13
230,Valparaiso,CL,2021-01-09 16:34:05,-33.0393,-71.6273,64.99,63,0,8.05
231,Acapulco,MX,2021-01-09 16:34:25,16.8634,-99.8901,82.4,69,40,3.44
232,Sampit,ID,2021-01-09 16:34:26,-2.5333,112.95,75.79,92,100,2.01
233,Cabatuan,PH,2021-01-09 16:34:26,10.8794,122.486,75.36,87,100,16.02
234,Leningradskiy,RU,2021-01-09 16:34:26,69.3833,178.4167,-21.3,82,13,3.89
235,Mahebourg,MU,2021-01-09 16:34:26,-20.4081,57.7,78.8,94,40,6.91
236,Bouna,CI,2021-01-09 16:31:03,9.2667,-3.0,99.14,17,80,5.57
237,Namibe,AO,2021-01-09 16:34:26,-15.1961,12.1522,72.0,73,100,8.95
